file_name,track_name,artist,lyrics
share_video_7336557059963374890_.mp3,Hot X So Much Hype,Tre Savage,"W's in the shot W's in the shot ladies
with gentle
hands I
type um I do it I do
it ladies with
gentle re tired from only
F your chance come get
your got what I like hey I do it I do it
I do it I do it my Ty I do it I do it I
do it I do it right I do it I do it I do
it I do it my I do it I do it I do it I
do
it I'm jumping in
noes cooking up the a
reservation these caramel nut I'm let it
taste
them showing off the money that I get
chasing you got the best body trust me
and I want you
obviously one time can you not be
fussing can you not be fussing
now put gentle hands to my soul my urg
is losing control she dripped in glitter
and Golding you up when this SN and cold
in the bed my body see gentle hands Me
Softly let get off me ladies with the
gentle
hand re tired from only
F here your chance come get
your got what I like hey I do it I do it
I do it I do it just my I do I do it I
do I do
it I do I do it I do I do
it I do I do it I do it I do
it does in the chat does in your
panties cleaning your inside sco
nties girl I'm your drug
toties I'm sleeping over so I brought my
Jamies seen her the grams give me your
hands cuz they smoother than butter I
can I lose her I love her Rob but I'm
using a rubber we both under the cover
she wants to move in with each other I
don't care what the cases your booty
I'mma chase this doing you on a regular
basis a king and a queen we be greatness
loveing your
seductiveness your touch got me up in
Bliss CL when we hugging kid should be
cuing
this ladies with the gentle
hands retired from only
F here's your chance come get
your got what I like hey I do it I do it
I do it I do it just my type I do it I
do it I do it I do it all right I do it
I do it I do it I do it my I do it I do
it I do it I do it"
share_video_7324762050549402912_.mp3,Ribs,Lorde,"[Verse 1]
The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home
It drives you crazy, getting old
[Pre-Chorus]
We can talk it so good
We can make it so divine
We can talk it good
How you wish it would be all the time
[Chorus]
The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home
It drives you crazy, getting old
The drink you spilt all over me
""Lover's Spit"" left on repeat
My mum and dad let me stay home
It drives you crazy, getting old
[Verse 2]
This dream isn't feeling sweet
We're reeling through the midnight streets
And I've never felt more alone
It feels so scary, getting old"
share_video_7322986923369319713_.mp3,Grey,Yung Filly,"[Verse 1]
Simmer down, Mami, simmer down
Didn't know you need it now, Mami
I'm in it now, watch me turn into a pound, Mami
A million pound, this kind of flow ain't written down, Mami
I know, I know, I know, I need her, need her
But I'm sorry, I can't take you for a keeper
So it's lookin' like we need a separation
I'm doing road so I can't do no obligation
Still goin' through the rain, I've seen some thunders
Let's take a look, see a feed full of busters
You cannot teach me nothin', I'm a hustler
Another portion of cake with the custard
And I be waved with this Rémy on a boat
I think you might like, I'm feelin' myself
I already fly high
Girl, it's the way it's envisioned, my mind, my mind
[Chorus]
Feels like I'm on a wave (Feel like I'm on a wave)
How come I see the colour grey? (How come?)
Calm now, we are not thе same
Found nothin' on my name
[Verse 2]
Simmer down, Mami, simmеr down
VVS's swimmin' round on me, they swimmin' round
I'm in and out the globe because I got a pound to spend (Oh, yeah)
Took a private jet right out the ends (Ah)
I know, I know, I know you fell in love with this
But did you fall for me or this life? (Or this life, oh)
I know, I know, I know you get a buzz from this
But are you gonna be here all the time?
So what's the matter? What's the situation?
If it wasn't for the moolah, would you still be vacant?
Would you hold me down or have me looking for replacement?
Bought a crib for my mama, I need one adjacent (Adjacent)
Can't talk to me, you need to hit my agent
Depo want a house, I put that on a bracelet
You can have one matching, you just need to know arrangements
Said ""I love you,"" that weren't entertainment"
share_video_7341100174393085226_.mp3,Untitled #13 (Super Slowed),glwzbll,This song is an instrumental
share_video_7339616299145923886_.mp3,ICEWHORE! (slowed),Lumi Athena,"バイバイ！
[Instrumental]
バイバイ！
[Instrumental]
この子一人で十分よ
勝ち！勝ち！"
share_video_7331320026718326048_.mp3,(Did Somebody Say) Just Eat,Katy Perry,"[Intro]
Did somebody say Just Eat?
Ding-dong
,
ring-a-ding-ding-ding-dong
Did somebody say Just Eat?
[Verse 1]
Want my curry in a hurry (Medium spice)
Extra sauce on the low (Boo won't know)
And I want
açai
Yeah, yeah, yeah, when I'm ordering delivery
[Verse 2]
A little sushi while I watch a movie
Papaya salad while I sing a ballad
Need some ice cream, make it a swirl
Gotta treat this California girl
[Pre-Chorus]
When you're running low, there's only one place to go
'Cause I get what I want, when I want it (When I want it)
Margherita with extra cheese on it
Download, now all I gotta do is pull out my phone
Easy: One, two, three
Mocha-whip triple-shot,
it means a latte to me
[Chorus]
Did somebody say Just Eat?
Ding-dong
,
ring-a-ding-ding-ding-dong
Did somebody say Just Eat?
Ding-dong
,
ring-a-ding-ding-ding-dong
Did somebody say Just Eat?"
share_video_7325165757166325035_.mp3,Bow Bow Bow (F My Baby Dad),Sexyy Red,"[Intro]
(
Tay Keith, fuck these niggas up
)
Fuck my baby dad, fuck my baby dad, fuck my baby dad
I'm a fine-ass bitch, I ain't in the house sad (Sexyy)
Fuck my baby dad
[Chorus]
(Baow, baow, baow, baow, baow) That's that booty meat
(Ayy, ayy, ayy, ayy, ayy) Look at them booty cheeks
(Baow, baow, baow, baow, baow) That's that booty meat
(Ayy, ayy, ayy, ayy, ayy) Look at them booty cheeks
[Verse 1]
All that ass on her, damn, this bitch bad
Switch my hips when I walk, yeah, I know you like that (It's Sexyy)
My nigga fucked up, fuck my baby dad
I'm gettin' outside, I ain't in the house sad (No)
Called up my bitch, we finna go out (Yeah)
Where the niggas at? It's lookin' like a drought (Damn)
My mama got the kids, I'm gettin' out this house
All in the club bouncin' ass, showin' out (Northside)
Lip-gloss poppin', bitch, I'm show-stoppin' (Mwah)
Lookin' like a snack, baby daddy cock blockin' (Hatin'-ass nigga)
Turnt up to the max, I'm the trendin' topic
My nigga actin' up, so you know I'm finna pop it"
share_video_7323996683619044613_.mp3,Cupid's Chokehold (Featuring Patrick Stump),Gym Class Heroes,"[Intro: Patrick Stump]
Mbabarara, mbabarara
Mbabarara, mbabarara, mbabarara
[Chorus: Patrick Stump]
Take a look at my girlfriend
She's the only one I got (Mbabarara)
Not much of a girlfriend
I never seem to get a lot (Mbabarara, mbabarara)
[Verse 1: Travie McCoy]
It's been some time since we last spoke
This is gonna sound like a bad joke
But Momma, I fell in love again
It's safe to say I have a new girlfriend
And I know it sounds so old
But Cupid got me in a chokehold
And I'm afraid I might give in
Towel's on the mat, my white flag is wavin' (Mbabarara)
I mean, she even cooks me pancakes
And Alka-Seltzer when my tummy aches
If that ain't love then I don't know what love is
We even got a secret handshake
And she loves the music that my band makes
I know I'm young, but if I had to choose her or the sun
I'd be one nocturnal son of a gun (Mbabarara, mbabarara)"
share_video_7339669741881150752_.mp3,New Home (Slowed),Austin Farwell,This song is an instrumental
share_video_7337667085163613445_.mp3,What You Won't Do for Love,Bobby Caldwell,"[Verse 1]
I guess you wonder where I've been
I searched to find a love within
[Refrain]
I came back to let you know
Got a thing for you and I can't let go
[Verse 2]
My friends wonder what is wrong with me
Well, I'm in a daze from your love, you see
[Refrain]
I came back to let you know
Got a thing for you and I can't let it go
[Pre-Chorus]
Some people go around the world for love
But they may never find what they dream of
[Chorus]
What you won't do, do for love
You've tried everything, but you don't give up
In my world, only you
Make me do for love what I would not do"
share_video_7326842376004111646_.mp3,Murder On the Dancefloor,Sophie Ellis-Bextor,"[Intro]
(Murder, murder, murder…)
It's murder on the dancefloor
But you better not kill the groove
DJ, gonna burn this goddamn house right down
[Verse 1]
Oh, I know, I know, I know, I know, I know, I know, I know
About your kind
And so, and so, and so, and so, and so, and so, and so
I'll have to play
[Pre-Chorus]
If you think you're getting away, I will prove you wrong
I'll take you all the way, boy, just come along
Hear me when I say, hey
[Chorus]
It's murder on the dancefloor
But you better not kill the groove, hey-hey, hey-hey
It's murder on the dancefloor
But you better not steal the moves
DJ, gonna burn this goddamn house right down
[Verse 2]
Oh, I know, I know, I know, I know, I know, I know, I know
I know there may be others
And so, and so, and so, and so, and so, and so, and so
You'll just have to pray"
share_video_7325167054196051246_.mp3,Sweetest Pie (David Guetta Dance Remix Extended),"Megan Thee Stallion, Dua Lipa & David Guetta","[Intro: Dua Lipa]
You've never been to Heaven, have you?
[Chorus: Dua Lipa &
Megan Thee Stallion
]
Ooh, this the ride of your life
Hold on 'cause, baby, I might
I might just give you a bite of the sweetest pie (
Yeah, yeah, yeah, ah
)
Ooh, baby, we can go fast
I'll drive and you just lay back
I got the flavour that lasts, yeah, the sweetest pie (
Uh-huh, uh-huh
)
I might take you home with this, I might give you all of it (
Yeah
)
Come get your dose of the sweetest pie
Ooh, this the ride of your life
Hold on 'cause, baby, I might
I might just give you a bite of the sweetеst pie (
Uh-huh, uh-huh
)
[Verse 1: Megan Thee Stallion]
Baby, I'm the sweetest, pussy is thе meanest (Yeah)
Hot girl shit, but I'm cold every season (But I'm)
Know he got that pipe, let him bust it 'til it's leakin' (Yeah, mwah)
Booty like a pillow, he can use it while he's sleepin' (Look)
Don't be goin' through my phone 'cause that's the old me (Old me)
Ain't the only one tryna be my one and only (Tryna)
Real thick, movin' slow, that body like codeine
He a player, but for Megan, he cuttin' the whole team (Hey, hey, hey, hey)
That body lookin' nice (Lookin' nice)
I got cake and I know he want a slice
I wish a nigga would try to put me on ice (Brrr)
I ain't never had to chase dick in my life (Dick in my life)
I like that nasty, that freaky stuff (Freaky stuff)
Slip under my bed and keep me up (Hey)
That Hansel and Gretel, let him eat me up (Ah)
Uh, uh, uh, uh, uh"
share_video_7324381104893349166_.mp3,First Love,Oscar Ortiz & Edgardo Nuñez,"[Letra de ""First Love""]
[Verso: Oscar Ortiz]
Desde esa noche me dejaste derrotado
No sé qué hiciste que no me he curado
Ya llevo meses y no te he olvidado
Tú me dañaste y lo has aceptado
[Pre-Coro: Edgardo Nuñez]
Ahí voy de tonto recordando y nunca paro
Siempre lo mismo, solito me daño
Ya que te fuiste, cómo he madurado
Sé que es muy tarde, no estás a mi lado
Cómo quisiera tenerte a mi lado, woh-woh, woh-woh, woh
[Coro: Oscar Ortiz &
Edgardo Nuñez
]
Yo quisiera saber lo que sientes, a vеr
Explícame una vez
¿Yo qué te hicе a ti pa' que pongas el fin en esta relación?
Solo tú, solo tú, solo tú
Admito que he llorado
Pienso en ti, pienso en ti, pienso en ti
Sabiendo que yo no fui el malo
Tú me dejaste y yo no fui el malo
En mi cumpleaños, cómo me has dañado
¿En qué pensabas si nunca fui malo?
Solo te fuiste y me dejaste derrotado
, woh-oh, woh-oh, woh-oh"
share_video_7337902986385050922_.mp3,Goth,Sidewalks and Skeletons,"[Intro]
Place me, place me
Place me in my casket
[Chorus]
Place me in my casket tonight
Because I'm already dying inside
Pale skin so cold to the touch
Like a rose in bloom when we blush
Dark eyes meet under the sky
The stars are out, we're alive in the night
My hollow heart finds it too hard to trust
We're all alone until we turn back to dust
[Outro]
Place me, place me
Place me in my casket
Place me, place me
Place me in my casket
Place me, place me
Place me in my casket
Place me, place me
Place me in my casket"
share_video_7319628398270188833_.mp3,Ladies With Gentle Hands,Dubskie,"W's in the shot W's in the shot ladies
with gentle
hands I
type um I do it I do
it ladies with
gentle re tired from only
F your chance come get
your got what I like hey I do it I do it
I do it I do it my Ty I do it I do it I
do it I do it right I do it I do it I do
it I do it my I do it I do it I do it I
do
it I'm jumping in
noes cooking up the a
reservation these caramel nut I'm let it
taste
them showing off the money that I get
chasing you got the best body trust me
and I want you
obviously one time can you not be
fussing can you not be fussing
now put gentle hands to my soul my urg
is losing control she dripped in glitter
and Golding you up when this SN and cold
in the bed my body see gentle hands Me
Softly let get off me ladies with the
gentle
hand re tired from only
F here your chance come get
your got what I like hey I do it I do it
I do it I do it just my I do I do it I
do I do
it I do I do it I do I do
it I do I do it I do it I do
it does in the chat does in your
panties cleaning your inside sco
nties girl I'm your drug
toties I'm sleeping over so I brought my
Jamies seen her the grams give me your
hands cuz they smoother than butter I
can I lose her I love her Rob but I'm
using a rubber we both under the cover
she wants to move in with each other I
don't care what the cases your booty
I'mma chase this doing you on a regular
basis a king and a queen we be greatness
loveing your
seductiveness your touch got me up in
Bliss CL when we hugging kid should be
cuing
this ladies with the gentle
hands retired from only
F here's your chance come get
your got what I like hey I do it I do it
I do it I do it just my type I do it I
do it I do it I do it all right I do it
I do it I do it I do it my I do it I do
it I do it I do it"
share_video_7338769181594127622_.mp3,Habits (Stay High),Tove Lo,"[Intro]
Oh-oh, oh-oh, oh-oh
[Verse 1]
I eat my dinner in my bathtub, then I go to sex clubs
Watchin' freaky people gettin' it on
It doesn't make me nervous, if anything, I'm restless
Yeah, I've been around and I've seen it all
I get home, I got the munchies, binge on all my Twinkies
Throw up in the tub, then I go to sleep
And I drank up all my money,
dazed and kinda lonely
[Chorus]
You're gone and I gotta stay
High all the time to keep you off my mind
Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
High all the time to keep you off my mind
Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
Spend my days locked in a haze
Tryna forget you, babe, I fall back down
Gotta stay high all my life to forget I'm missin' you
Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh
[Verse 2]
Pick up daddies at the playground, how I spend my day time
Loosen up their frown, make 'em feel alive
I make it fast and greasy, I'm numb and way too easy"
share_video_7331402048539217185_.mp3,What You Won't Do for Love,Bobby Caldwell,"[Verse 1]
I guess you wonder where I've been
I searched to find a love within
[Refrain]
I came back to let you know
Got a thing for you and I can't let go
[Verse 2]
My friends wonder what is wrong with me
Well, I'm in a daze from your love, you see
[Refrain]
I came back to let you know
Got a thing for you and I can't let it go
[Pre-Chorus]
Some people go around the world for love
But they may never find what they dream of
[Chorus]
What you won't do, do for love
You've tried everything, but you don't give up
In my world, only you
Make me do for love what I would not do"
share_video_7324353958208621856_.mp3,Spin Back!,Scootie Wop,"[Intro]
Okay, uh, ayy, ayy
Ayy, look (Here we go!)
It go left, right (Ayy!)
Ayy, left, right (Here we go!)
Left, right (Ayy!)
Ayy (Here we go!)
[Chorus]
Hol' up, I ain't with that (Ooh)
Devil tried to get his lick back (Wow)
Pull up, pew!
Spin back (Pow)
Pull up, pew!
Spin back
Let's go!
[Verse]
Sweaty palms, two-steppin', 8th grade dance (Two-step!)
""Turn that Rosco DASH off, I'm tryna hold hands"" (Ah?)
Goodwill, had the drip of an old man (Goodwill!)
Oversized Air Force 1s and the Soltan (30!)
I been stompin' with the big dogs, Gina (Big dogs!)
Fast-forward, prom night, got the whip cleaned up (Skrr, skrr!)
Perfect day, type of day that I dreamed of (Perfect)
Devil tried to run a fade and got bеamed up (Bang! Bang! Bang!)
How my love go? (How?)
I been fiendin' for thе Scripture
Where the plug go? (Let me hit that)
Twizzy tapped me on the shoulder, ""Got yo' gun bro?""  (Ah?)
I'm in the presence of the Lord
What I need my gun for? (Hallelujah)
Can you imagine singin' Bethel and them boys say, ""Run it""?
""Put yo' hands to the air"" and clip to yo' stomach? (Pa!)
Bro took the mask off like, ""Why you ain't runnin'?""
Took a deep breath, looked at him, and said, ""He's comin'!"" (Yeah!)
Yeah, He comin' back soon
I got saved, 1 A.M., in the backroom (Yes, Lord)
Cryin' hard, ""Why did God save a bad dude?""
He said, ""You don't hate me, son, you was in a bad mood"" (True)
Can't convince me servin' God was a bad move (True)
I be havin' good days and some sad too (You get it?)
Wanna learn about God? Well, I'm glad to
Tell you 'bout good fruit, this ain't bad food"
share_video_7331459879019744555_.mp3,Baddie Friend (Two Bad Bitches) [feat. House of Evo],"Kevo Jefé, Casa Di & Steve Terrell","[ __ ] with aad friend with aad friend
IAD [ __ ] [ __ ] bad [ __ ] I bad [ __ ]
[ __ ] [ __ ] like a
badito like a bad bit
Duo [ __ ] with aad friend with aad
friend I love bad [ __ ] bad [ __ ]
bad [ __ ] be friend I love seeing two
bad [ __ ] bad [ __ ] bad
[ __ ] like a
bad like a
bad [ __ ] with aad friend with aad
friend
[ __ ] [ __ ] be I love bad [ __ ] [ __ ]
bad [ __ ] like a
badito like a bad
Duo [ __ ] with aad friend with bad
friend I love [ __ ] [ __ ] bad [ __ ] be I
love bad [ __ ] bad [ __ ] bad [ __ ] be
like a bad B
Duo like a bad B Duo bad"
share_video_7339686968357309701_.mp3,PROVENZA,KAROL G,"[Letra de ""PROVENZA""]
[Coro]
Baby, ¿qué más?
Hace rato que no sé na' de ti
'Taba con alguien, pero ya estoy free
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free
Puesta pa' revivir viejos tiempo', no salgo hace tiempo (
Shh
)
[Verso 1]
Papi, nos perdemo', nos parqueamo' y lo prendemo'
Pa' la seca algo bebemo', y cuando nos emborrachemo'
Una de reggaetón ponemo' y nos vamo' a donde nos podamos querer
Nos podamos comer (
Eh-ah
)
Papi, nos perdemo', nos parqueamo' y lo prendemo'
Pa' la seca algo bebemo', y cuando nos emborrachemo'
Una de reggaetón ponemo' y nos vamo' a donde nos podamo' querer
Nos podamo' comer
[Coro]
Baby, ¿qué más?
Hace rato (
Wuh
) que no sé na' de ti (
Yeh
)
'Taba con alguien, pero ya estoy free (
'Toy free
)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah (
Tú dime, tú dime
)
Que hace rato que no sé na' de ti (
Na' de ti
)
'Taba con alguien, pero ya estoy free (
Wuh
)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo"
share_video_7332985553048194305_.mp3,Forever (Single Version),The Little Dippers,"[Chorus]
Hold me, kiss me
Whisper sweetly
That you love me forever
[Bridge]
Ah-ah-ah-ooh, ooh, ah-oh
Ah-ah, ooh-ooh-ooh
Ah-ah, ooh-ooh-ooh
Ah-ah, ooh-ooh-ooh
Forever
Ah-ah
[Chorus]
Hold me, kiss me
Whisper sweetly
That you love me forever"
share_video_7314035792509291781_.mp3,Good In Goodbye,Madison Beer,"[Verse 1]
You got blood on your hands, how do you plead?
Boy, it's like treason how you treated me
It's eight Mondays in a row (Row)
Nine days of the week (Week)
These tantrums been old (Old)
All bitter, no sweet
[Pre-Chorus]
You're killing my vibe
In ways words cannot describe
But I'll try, I'll try
[Chorus]
You put the ""over"" in ""lover,"" put the ""ex"" in ""next""
Ain't no ""I"" in ""trouble,"" just the ""U"" since we met
'Cause you're toxic, boy, I ain't even gotta try to find the
G-O-O-D in goodbye
You put the ""over"" in ""lover,"" put the ""ex"" in ""next""
Ain't no ""I"" in ""trouble,"" just the ""U"" since we met
'Cause you're toxic, boy, I ain't even gotta try to find the
G-O-O-D in goodbye
[Verse 2]
I would take a bullet for you just to prove my love
Only to find out you are the one holding the gun
I'm just tryna get focused, take some time for me
People started to notice all the shit you couldn't see"
share_video_7039762494256090415_.mp3,Spinback,snoeks,"[Intro]
(
Div, Div, Div
)
(
D-D-D-Div, don't do it to 'em
)
[Chorus]
I got my gun, so please spin back, mmm, mmm, please spin back
I had my gun when they tried to attack, please spin back
Don't hit and run, just please spin back, please spin back
We are not done, so please spin back, please spin back
[Verse]
We do this for fun, bet he ain't know that
Know we out here lookin' for a
toe tag
They was four deep, but I had one gat
Went and got more heat, so please come back
Please spin back, wanna know what you meant by that
Oh, I know, you must have thought I was a ho
Spin back now and get a tag for your toe
Trap don't stop, get a bag for the low
Might go shop and cop a bag for my ho
Gave her good pipe, had her askin' for more
If you see me, just know I might be grabbin' my pole (Woo)
Vintage-ass drip, yeah, the fashion is old
Re-rock block, no need for the stove
Her body rock, unbelievable ho
Fiends hit the block when they need 'em some more
Four against one, add four to the score
Four lines enough, but I'm pourin' up more
Four pound tucked everywhere that I go
It be with me at the store, it be with me with the ho"
share_video_7323735483375258923_.mp3,BIG GIRLS DON'T CRY (workout mix),Toby Gad & Victoria Justice,"[Verse 1]
The smell of your skin lingers on me now
You're probably on your flight back to your hometown
I need some shelter of my own protection, baby
Be with myself and center
Clarity, peace, serenity
[Chorus]
I hope you know, I hope you know
That this is nothing to do with you
It's personal, myself and I
We got some straightening out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry
Oh, don't cry, don't cry, don't cry
[Verse 2]
The path that I'm walking, I must go alone
I must take the baby steps 'til I'm full grown, full grown
Fairytales don't always have a happy ending, do they?
And I foresee the dark ahead if I stay
[Chorus]
I hope you know, I hope you know
That this is nothing to do with you
It's personal, myself and I
We got some straightening out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry"
